"Seg ID","% Followers","Density (pc/mi/ln)","Density (veh/mi/ln)","Follower Density (veh/mi/ln)","Adj. Follower Density (veh/mi/ln)","Avg. Thresh. Delay (s/veh)","Avg. Thresh. Delay (%)","Avg. FFS Delay (s/veh)","Avg. FFS Delay (%)","LOS","LOS Value","Demand/Capacity","Available Capacity (veh/h)","Momentum (vol x speed)","VMT","VHT","VHD"
1,46.7,---,5.8,2.7,2.7,0,0,0.4,3.6,B,1.36,0.206,1350,21098.6,66.7,1.11,0.039
2,40.5,---,5.8,2.3,2.3,0,0,2.7,3,B,1.17,0.206,1350,21233.4,548.6,9.04,0.261
3,43.5,---,5.8,2.5,2.5,0,0,1.9,3.7,B,1.26,0.206,1350,21089.4,317.2,5.26,0.186
4,47,---,6.7,3.1,3.1,0,0,3.6,4,B,1.57,0.235,1300,24024.9,625.8,10.42,0.401
5,49.8,---,6.9,3.4,3.4,0,0,1.8,5.7,B,1.71,0.235,1300,23221.9,210.5,3.63,0.196
6,51.1,---,6.7,3.4,3.4,0,0,8.2,4.1,B,1.7,0.235,1300,24012.9,1410.6,23.5,0.916
7,43.7,---,6.6,2.9,2.9,0,0,1.8,3.3,B,1.44,0.235,1300,24200.1,387,6.4,0.201
8,54.2,---,10.5,5.7,5.7,0,0,1.5,4.3,C,2.14,0.235,1300,15219.8,155.7,4.09,0.167
9,---,---,---,---,---,6,28.8,7.9,41.7,A,0.79,0.399,603,10870.5,81.5,3,0.882
10,65.5,---,15.9,10.4,10.4,0,0,1.2,5.3,D,3.09,0.353,1100,22605.1,152,4.03,0.203
11,---,---,---,---,---,0,0,4.7,5.5, ,0.39,0,0,18354.2,460.2,15.04,0.783
12,65.3,---,15.9,10.4,10.4,0,0,1.3,5.3,D,3.08,0.353,1100,22623.2,165.9,4.4,0.221
13,63.9,---,12.3,7.9,7.9,0,0,0.6,5,C,2.58,0.353,1100,29186.7,107.3,2.21,0.106
14,58.5,---,10,5.9,5.9,0,0,0.9,4.5,C,2.47,0.353,1100,35895.4,208.6,3.49,0.149
15,58.8,---,10.1,5.9,5.9,0,0,1.6,4.9,C,2.48,0.353,1100,35737.3,339.1,5.69,0.268
16,56.2,---,10,5.6,5.6,0,0,2.6,4.5,C,2.41,0.353,1100,35877.5,594.9,9.95,0.43
17,58.1,---,10.3,6,6,0,0,3.3,7.2,C,2.49,0.353,1100,34987,471.4,8.08,0.542
18,56.6,---,10,5.7,5.7,0,0,2,4.5,C,2.42,0.353,1100,35882.8,459,7.67,0.331
19,57.6,---,10.1,5.8,5.8,0,0,3.6,5,C,2.45,0.353,1100,35720,760.8,12.78,0.607
20,59,---,10,5.9,5.9,0,0,0.8,4.5,C,2.48,0.353,1100,35897.6,175.2,2.93,0.125
21,60.9,---,10.1,6.1,6.1,0,0,0.4,4.9,C,2.53,0.353,1100,35749,76.6,1.29,0.06
22,58.3,---,10,5.8,5.8,0,0,1,4.5,C,2.46,0.353,1100,35894.4,226.3,3.78,0.162
23,60.9,---,10.1,6.1,6.1,0,0,0.7,4.9,C,2.53,0.353,1100,35749,139.9,2.35,0.11
24,33.4,---,9.7,1.6,1.6,0,0,1,1.4,A,0.81,0.2,900,36970.4,695,11.29,0.159
24,38,---,5.6,2.1,---,---,---,---,---,---,---,---,---,---,409.88,6.515,-0.031
24,26.8,---,4.1,1.1,---,---,---,---,---,---,---,---,---,---,285.1,4.771,0.197
25,58.7,---,10.1,5.9,4.6,0,0,1.7,4.9,C,2.16,0.353,1100,35736.6,354.5,5.95,0.28
26,56.2,---,10,5.6,4.8,0,0,3.8,4.5,C,2.19,0.353,1100,35868.2,873.7,14.61,0.636
27,57.9,---,10.1,5.8,5.1,0,0,2.5,5,C,2.27,0.353,1100,35729.2,515.9,8.66,0.409
28,31.7,---,9.8,1.5,1.5,0,0,0.9,1.2,A,0.77,0.2,900,36891.5,770.8,12.55,0.148
28,36.4,---,5.6,2,---,---,---,---,---,---,---,---,---,---,454.61,7.22,-0.052
28,24.9,---,4.1,1,---,---,---,---,---,---,---,---,---,---,316.21,5.327,0.211
29,57.7,---,10.1,5.8,4.8,0,0,4,5,C,2.2,0.353,1100,35717.3,842.7,14.16,0.673
30,58,---,10,5.8,4.9,0,0,1.1,4.5,C,2.22,0.353,1100,35893.1,247.5,4.14,0.177
31,60.4,---,10.6,6.4,5.6,0,0,5.3,8.8,C,2.4,0.353,1100,33950.1,621.4,10.98,0.889
32,60.9,---,10.1,6.1,5.4,0,0,0.4,4.9,C,2.35,0.353,1100,35749,76.6,1.29,0.06
33,74.3,---,18.7,13.9,12.7,0,0,1.1,6.2,D,3.54,0.529,800,43301,234,4.86,0.284